clade	species	ts	te	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
0	16	1994	1999	0	1	2	3	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	17	1994	2011	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	NA	NA	NA	NA	NA	NA	NA
0	18	2016	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2
0	19	1997	2001	NA	NA	NA	0	1	2	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	20	1999	2010	NA	NA	NA	NA	NA	0	1	2	3	4	5	6	7	8	9	10	11	NA	NA	NA	NA	NA	NA	NA	NA
0	21	1999	1999	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	22	2000	2004	NA	NA	NA	NA	NA	NA	0	1	2	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	23	1999	2009	NA	NA	NA	NA	NA	0	1	2	3	4	5	6	7	8	9	10	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	24	1997	2007	NA	NA	NA	0	1	2	3	4	5	6	7	8	9	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	25	2009	2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	NA	NA	NA	NA	NA	NA	NA
0	26	2006	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5	6	7	8	NA	NA	NA	NA
0	27	2008	2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5	NA	NA	NA	NA	NA
0	28	2009	2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	NA	NA	NA	NA	NA
0	29	2010	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
0	30	2005	2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5	6	7	NA	NA	NA	NA	NA	NA
0	31	2005	2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5	6	NA	NA	NA	NA	NA	NA	NA
0	32	2008	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5	6	NA	NA	NA	NA
0	33	1996	1996	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	34	2002	2002	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	35	2003	2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	36	1997	2001	NA	NA	NA	0	1	2	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	37	1997	2001	NA	NA	NA	0	1	2	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	38	1995	2001	NA	0	1	2	3	4	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	39	1996	1996	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	40	2001	2001	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	41	1996	1996	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	42	1996	1996	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	43	2006	2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5	6	7	NA	NA	NA	NA	NA
0	44	2012	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	NA	NA
0	45	1999	2003	NA	NA	NA	NA	NA	0	1	2	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	46	1998	2010	NA	NA	NA	NA	0	1	2	3	4	5	6	7	8	9	10	11	12	NA	NA	NA	NA	NA	NA	NA	NA
0	47	2004	2004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	48	1996	2004	NA	NA	0	1	2	3	4	5	6	7	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	49	1998	2003	NA	NA	NA	NA	0	1	2	3	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	50	2001	2010	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5	6	7	8	9	NA	NA	NA	NA	NA	NA	NA	NA
0	51	2000	2007	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	52	2016	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2
0	53	1996	2012	NA	NA	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	NA	NA	NA	NA	NA	NA
0	54	2006	2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5	6	7	NA	NA	NA	NA	NA
0	55	1999	2008	NA	NA	NA	NA	NA	0	1	2	3	4	5	6	7	8	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	56	1997	2001	NA	NA	NA	0	1	2	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	57	2001	2001	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	58	1999	2007	NA	NA	NA	NA	NA	0	1	2	3	4	5	6	7	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	59	1998	2013	NA	NA	NA	NA	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	NA	NA	NA	NA	NA
0	60	2011	2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
0	61	2012	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	NA	NA	NA
0	62	2016	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2
0	63	2015	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3
0	64	2013	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	NA	NA	NA
0	65	2013	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	NA	NA	NA
0	66	2015	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3
0	67	2013	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5
0	68	2017	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1
0	69	2012	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	5	NA
0	70	2013	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	NA	NA
0	71	2015	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3
0	72	2015	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3
0	73	2014	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA
0	74	2014	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	NA
0	75	1996	1996	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
