species	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0921400101224	0.431625272415	1.32216829784
19	NA	NA	NA	0.159672652033	0.277213366586	1.26642684366	1.32968890752	1.38288389582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NA	NA	NA	NA	NA	0.140795489767	0.19933238893	0.256272441182	0.372028331325	0.804009347629	0.994647035483	1.03333904446	1.05154777021	1.13010417284	1.39692674404	1.65411438892	1.90047068194	NA	NA	NA	NA	NA	NA	NA	NA
21	NA	NA	NA	NA	NA	0.727202193052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	NA	NA	NA	NA	NA	NA	0.0182869343824	0.13013632439	0.396859964141	0.849185471864	1.16999313601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	NA	NA	NA	NA	NA	0.0272133856813	0.394353350724	0.477056034227	1.03891359839	1.08169349195	1.12975465613	1.14135341305	1.43304724029	1.58575385711	1.66331733094	1.8227582363	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	NA	NA	NA	0.321306220302	0.33053584069	0.452934430734	0.693985940827	0.926305784503	1.05597395904	1.05758982637	1.24379515079	1.29140912401	1.30201290163	1.30411558959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.465950941285	1.17215865692	1.53435540987	NA	NA	NA	NA	NA	NA	NA
26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.277061386427	0.397493182916	0.659790537113	0.752397956829	1.27074320223	1.27568654729	1.30241742824	1.55019826721	1.70570060084	NA	NA	NA	NA
27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0133961998709	0.122251845336	0.211435122258	1.06773358766	1.09101287034	1.93800206876	NA	NA	NA	NA	NA
28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.333195095038	0.698914962612	1.11975026561	1.49203813819	1.50693093404	NA	NA	NA	NA	NA
29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0158880757013	NA	NA	NA	NA	NA	NA	NA	NA
30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0214042822285	0.750184677194	1.02639700579	1.03797601331	1.14365547957	1.18066046569	1.59703369382	1.87345047457	NA	NA	NA	NA	NA	NA
31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.163710668221	0.33689885478	0.613537290572	0.643774526406	0.703508293508	1.08063526375	1.35427314009	NA	NA	NA	NA	NA	NA	NA
32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.111069899007	0.225734502249	0.28483111439	0.460854746063	0.46389875786	0.570248603231	0.667218594165	NA	NA	NA	NA
33	NA	NA	1.92100987445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	NA	NA	NA	NA	NA	NA	NA	NA	0.261896932812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.16332139397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	NA	NA	NA	0.0802335750997	0.352908660844	0.552358757674	0.962945887577	1.33927138635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	NA	NA	NA	0.124690267261	0.243739367771	0.449404579863	1.33064136583	1.45448689241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	NA	0.180722300693	0.247546454255	0.565696733335	1.08551895344	1.24237688884	1.74279436615	1.87018964786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	NA	NA	1.06169694113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	NA	NA	NA	NA	NA	NA	NA	1.41273317746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	NA	NA	0.949562583391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	NA	NA	0.958654415842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0428328997166	0.0656658574468	0.133335041112	0.21325095771	0.259331933024	0.665446166866	0.709308864386	0.802552039088	NA	NA	NA	NA	NA
44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.27637425404e-05	0.284928169136	0.395524533802	0.605207420663	0.632395004988	NA	NA
45	NA	NA	NA	NA	NA	0.038496132595	0.164042426686	1.34377303257	1.51093842303	1.93275269259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	NA	NA	NA	NA	0.0176337719648	0.123526354573	0.670245532288	0.678832156893	0.930275357583	0.98849666939	1.34561780719	1.39543251695	1.50465067301	1.54998075101	1.57891841773	1.84976732504	1.94859279441	NA	NA	NA	NA	NA	NA	NA	NA
47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06902872195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	NA	NA	0.0134570324842	0.109545943663	0.654351431296	0.675111497245	1.40163289564	1.42364190324	1.44708486731	1.65590134151	1.74280828425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	NA	NA	NA	NA	0.179337660513	0.185346512995	0.790764672679	0.853876998392	1.35569910896	1.42290847839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	NA	NA	NA	NA	NA	NA	NA	0.355793324892	0.372371211349	0.428867540132	0.618328366351	0.671910005298	0.8964747439	1.21040803984	1.32696992311	1.59396305414	1.60591862386	NA	NA	NA	NA	NA	NA	NA	NA
51	NA	NA	NA	NA	NA	NA	0.122523077235	0.191041267847	0.458660599679	0.698424240387	1.18558272894	1.40788514107	1.67945475294	1.87692013336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14570150123	1.2141729038	1.32761575579
53	NA	NA	0.0318384896583	0.598026551961	0.608270306228	0.723944034753	0.870676536712	0.965755003401	1.08803836589	1.10492629778	1.11086350922	1.17240373794	1.19846940863	1.3956576444	1.47030436059	1.66497715606	1.70134981461	1.80138059475	1.84468637283	NA	NA	NA	NA	NA	NA
54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.158989874813	0.311387499017	0.386445336781	0.612903331352	0.693239911645	0.778400825891	1.04950205417	1.83727819134	NA	NA	NA	NA	NA
55	NA	NA	NA	NA	NA	0.422858113841	0.823298495719	0.960396855745	1.06077386242	1.47141777161	1.53064988022	1.82041373577	1.8626198375	1.93612097159	1.97533518299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	NA	NA	NA	0.00337369540552	0.188801853651	0.257501995926	0.489809613277	0.66741321883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	NA	NA	NA	NA	NA	NA	NA	0.522992140521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	NA	NA	NA	NA	NA	0.0304642660565	0.309128738378	0.380409980958	0.802396370601	0.818319689587	0.872871150905	0.882138779184	1.03040653777	1.52530966464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	NA	NA	NA	NA	0.127353958938	0.266697817018	0.559702601656	0.642268855439	0.705300417933	0.918058482564	0.934701988731	1.023933475	1.02763129648	1.05036290332	1.06255301386	1.23501961385	1.34190858191	1.43811448288	1.46320885004	1.82987020447	NA	NA	NA	NA	NA
60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.15999330097	NA	NA	NA	NA	NA	NA	NA
61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.271776375722	0.799201751348	1.42925035212	1.88707662106	NA	NA	NA
62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.53349565991	1.01936266773	1.89930381857
63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00746771230693	0.595674132612	1.42480232448	1.73709463411
64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.633668159712	1.58828874124	1.99249868013	NA	NA	NA
65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.136354517543	0.305402895883	0.979067111507	NA	NA	NA
66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.892357049544	1.2423361701	1.4812938188	1.52840651421
67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0155478454781	0.0552449169019	0.086547870546	0.443481424198	0.465383965496	0.583155798796
68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.274533908238	0.55509521146
69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0211905190107	0.774805527307	0.868415885577	1.01351799519	1.02335199212	1.86457309849	NA
70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0163309394875	1.44954885612	1.52059821473	1.65204179565	NA	NA
71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.370255446862	0.800367111085	1.46932879769	1.9668431616
72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.330303113527	1.08007817622	1.23717309991	1.69867206285
73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.196002906439	0.783003102432	NA	NA	NA
74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.248691650616	1.13956625958	1.45840845497	1.52869110799	NA
75	NA	NA	1.63722705477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
